#"CEDAD1 - A:Sig=200,4  Ref=360,100 V-15N-5-r001.d"
#Point,X(Minutes),Y(Response Units)
116,0.777,-0.102519989013672
117,0.784,-0.102996826171875
118,0.790,-0.103950500488281
119,0.797,-0.105857849121094
120,0.804,-0.107288360595703
121,0.810,-0.108718872070313
122,0.817,-0.108718872070313
123,0.824,-0.1068115234375
124,0.830,-0.104904174804688
125,0.837,-0.102519989013672
126,0.844,-0.0996589660644531
127,0.850,-0.0958442687988281
128,0.857,-0.0939369201660156
129,0.864,-0.0939369201660156
130,0.870,-0.0934600830078125
131,0.877,-0.0929832458496094
132,0.884,-0.0934600830078125
133,0.890,-0.095367431640625
134,0.897,-0.0967979431152344
135,0.904,-0.0972747802734375
136,0.910,-0.0967979431152344
137,0.917,-0.0967979431152344
138,0.924,-0.0963211059570313
139,0.930,-0.095367431640625
140,0.937,-0.095367431640625
141,0.944,-0.0958442687988281
142,0.950,-0.0963211059570313
143,0.957,-0.095367431640625
144,0.964,-0.0939369201660156
145,0.970,-0.0925064086914063
146,0.977,-0.0901222229003906
147,0.984,-0.0867843627929688
148,0.990,-0.0824928283691406
149,0.997,-0.0786781311035156
150,1.004,-0.0753402709960938
151,1.010,-0.0710487365722656
152,1.017,-0.0662803649902344
153,1.024,-0.0619888305664063
154,1.030,-0.0605583190917969
155,1.037,-0.06103515625
156,1.044,-0.0624656677246094
157,1.050,-0.0638961791992188
158,1.057,-0.0658035278320313
159,1.064,-0.0681877136230469
160,1.070,-0.0705718994140625
161,1.077,-0.0720024108886719
162,1.084,-0.0729560852050781
163,1.090,-0.0748634338378906
164,1.097,-0.0777244567871094
165,1.104,-0.0805854797363281
166,1.110,-0.0772476196289063
167,1.117,-0.0329017639160156
168,1.124,0.16021728515625
169,1.130,0.668048858642578
170,1.137,1.65414810180664
171,1.144,3.21865081787109
172,1.150,5.39064407348633
173,1.157,8.13579559326172
174,1.164,11.3320350646973
175,1.170,14.7862434387207
176,1.177,18.2662010192871
177,1.184,21.1067199707031
178,1.190,22.188663482666
179,1.197,21.0566520690918
180,1.204,18.0850028991699
181,1.210,14.1992568969727
182,1.217,9.78851318359375
183,1.224,5.43117523193359
184,1.230,2.20966339111328
185,1.237,0.577926635742188
186,1.244,0.177860260009766
187,1.250,0.114917755126953
188,1.257,0.0700950622558594
189,1.264,0.0329017639160156
190,1.270,0.00476837158203125
191,1.277,-0.0128746032714844
192,1.284,-0.0219345092773438
193,1.290,-0.0271797180175781
194,1.297,-0.0309944152832031
195,1.304,-0.0338554382324219
196,1.310,-0.0357627868652344
197,1.317,-0.0386238098144531
198,1.324,-0.041961669921875
199,1.330,-0.0443458557128906
200,1.337,-0.0462532043457031
201,1.344,-0.0491142272949219
202,1.350,-0.05340576171875
203,1.357,-0.0576972961425781
204,1.364,-0.06103515625
205,1.370,-0.0638961791992188
206,1.377,-0.0667572021484375
207,1.384,-0.0696182250976563
208,1.390,-0.0734329223632813
209,1.397,-0.0777244567871094
210,1.404,-0.0824928283691406
211,1.410,-0.087738037109375
212,1.417,-0.0925064086914063
213,1.424,-0.0963211059570313
214,1.430,-0.0977516174316406
215,1.437,-0.0977516174316406
216,1.444,-0.0972747802734375
217,1.450,-0.0977516174316406
218,1.457,-0.09918212890625
219,1.464,-0.100135803222656
220,1.470,-0.101089477539063
221,1.477,-0.101089477539063
222,1.484,-0.100612640380859
223,1.490,-0.100612640380859
224,1.497,-0.100612640380859
225,1.504,-0.101089477539063
226,1.510,-0.102043151855469
227,1.517,-0.103473663330078
228,1.524,-0.105381011962891
229,1.530,-0.1068115234375
230,1.537,-0.107765197753906
231,1.544,-0.107288360595703
232,1.550,-0.1068115234375
233,1.557,-0.105857849121094
234,1.564,-0.105857849121094
235,1.570,-0.106334686279297
236,1.577,-0.106334686279297
237,1.584,-0.1068115234375
238,1.590,-0.107765197753906
239,1.597,-0.109672546386719
240,1.604,-0.111103057861328
241,1.610,-0.112056732177734
242,1.617,-0.113010406494141
243,1.624,-0.114917755126953
244,1.630,-0.116348266601563
245,1.637,-0.116825103759766
246,1.644,-0.116348266601563
247,1.650,-0.115394592285156
248,1.657,-0.11444091796875
249,1.664,-0.113487243652344
250,1.670,-0.113010406494141
251,1.677,-0.112533569335938
252,1.684,-0.112056732177734
253,1.690,-0.110149383544922
254,1.697,-0.1068115234375
255,1.704,-0.101089477539063
256,1.710,-0.0934600830078125
257,1.717,-0.0848770141601563
258,1.724,-0.0753402709960938
259,1.730,-0.0658035278320313
260,1.737,-0.057220458984375
261,1.744,-0.049591064453125
262,1.750,-0.0414848327636719
263,1.757,-0.0329017639160156
264,1.764,-0.0243186950683594
265,1.770,-0.0166893005371094
266,1.777,-0.0100135803222656
267,1.784,-0.00524520874023438
268,1.790,-0.00476837158203125
269,1.797,-0.0095367431640625
270,1.804,-0.019073486328125
271,1.810,-0.0314712524414063
272,1.817,-0.0457763671875
273,1.824,-0.0600814819335938
274,1.830,-0.0715255737304688
275,1.837,-0.0805854797363281
276,1.844,-0.0872611999511719
277,1.850,-0.0920295715332031
278,1.857,-0.0939369201660156
279,1.864,-0.0948905944824219
280,1.870,-0.0958442687988281
281,1.877,-0.0963211059570313
282,1.884,-0.0967979431152344
283,1.890,-0.0972747802734375
284,1.897,-0.0972747802734375
285,1.904,-0.0963211059570313
286,1.910,-0.0920295715332031
287,1.917,-0.0853538513183594
288,1.924,-0.0777244567871094
289,1.930,-0.0696182250976563
290,1.937,-0.0624656677246094
291,1.944,-0.057220458984375
292,1.950,-0.0553131103515625
293,1.957,-0.0567436218261719
294,1.964,-0.0600814819335938
295,1.970,-0.064849853515625
296,1.977,-0.0700950622558594
297,1.984,-0.0758171081542969
298,1.990,-0.080108642578125
299,1.997,-0.0820159912109375
300,2.004,-0.0805854797363281
301,2.010,-0.0762939453125
302,2.017,-0.06866455078125
303,2.024,-0.0591278076171875
304,2.030,-0.0500679016113281
305,2.037,-0.0429153442382813
306,2.044,-0.0391006469726563
307,2.050,-0.0391006469726563
308,2.057,-0.0429153442382813
309,2.064,-0.0491142272949219
310,2.070,-0.0562667846679688
311,2.077,-0.0638961791992188
312,2.084,-0.0705718994140625
313,2.090,-0.0758171081542969
314,2.097,-0.0805854797363281
315,2.104,-0.0853538513183594
316,2.110,-0.0891685485839844
317,2.117,-0.0929832458496094
318,2.124,-0.0958442687988281
319,2.130,-0.0982284545898438
320,2.137,-0.100135803222656
321,2.144,-0.101089477539063
322,2.150,-0.102519989013672
323,2.157,-0.103950500488281
324,2.164,-0.105857849121094
325,2.170,-0.107288360595703
326,2.177,-0.108242034912109
327,2.184,-0.109195709228516
328,2.190,-0.109672546386719
329,2.197,-0.110149383544922
330,2.204,-0.110626220703125
331,2.210,-0.111103057861328
332,2.217,-0.110626220703125
333,2.224,-0.110626220703125
334,2.230,-0.110149383544922
335,2.237,-0.111103057861328
336,2.244,-0.112056732177734
337,2.250,-0.113010406494141
338,2.257,-0.11444091796875
339,2.264,-0.115871429443359
340,2.270,-0.117301940917969
341,2.277,-0.118255615234375
342,2.284,-0.118255615234375
343,2.290,-0.118732452392578
344,2.297,-0.120162963867188
345,2.304,-0.121116638183594
346,2.310,-0.121593475341797
347,2.317,-0.121593475341797
348,2.324,-0.121116638183594
349,2.330,-0.120162963867188
350,2.337,-0.117301940917969
351,2.344,-0.111579895019531
352,2.350,-0.103473663330078
353,2.357,-0.091552734375
354,2.364,-0.0748634338378906
