#"CEDAD1 - A:Sig=200,4  Ref=360,100 nitrite_nitrate_TFA.d"
#Point,X(Minutes),Y(Response Units)
428,2.857,-0.137805938720703
429,2.864,-0.140190124511719
430,2.870,-0.143051147460938
431,2.877,-0.145435333251953
432,2.884,-0.147342681884766
433,2.890,-0.147819519042969
434,2.897,-0.147819519042969
435,2.904,-0.147819519042969
436,2.910,-0.148773193359375
437,2.917,-0.150203704833984
438,2.924,-0.152111053466797
439,2.930,-0.153541564941406
440,2.937,-0.154972076416016
441,2.944,-0.154972076416016
442,2.950,-0.154018402099609
443,2.957,-0.152587890625
444,2.964,-0.151634216308594
445,2.970,-0.152587890625
446,2.977,-0.154018402099609
447,2.984,-0.156402587890625
448,2.990,-0.159263610839844
449,2.997,-0.162124633789063
450,3.004,-0.163078308105469
451,3.010,-0.162124633789063
452,3.017,-0.160694122314453
453,3.024,-0.160694122314453
454,3.030,-0.161170959472656
455,3.037,-0.161647796630859
456,3.044,-0.163078308105469
457,3.050,-0.164508819580078
458,3.057,-0.165462493896484
459,3.064,-0.164985656738281
460,3.070,-0.163555145263672
461,3.077,-0.162124633789063
462,3.084,-0.161170959472656
463,3.090,-0.16021728515625
464,3.097,-0.158309936523438
465,3.104,-0.154972076416016
466,3.110,-0.151634216308594
467,3.117,-0.149250030517578
468,3.124,-0.147819519042969
469,3.130,-0.145912170410156
470,3.137,-0.14495849609375
471,3.144,-0.14495849609375
472,3.150,-0.146865844726563
473,3.157,-0.147819519042969
474,3.164,-0.148296356201172
475,3.170,-0.148296356201172
476,3.177,-0.149250030517578
477,3.184,-0.150680541992188
478,3.190,-0.152587890625
479,3.197,-0.154495239257813
480,3.204,-0.157833099365234
481,3.210,-0.162124633789063
482,3.217,-0.166893005371094
483,3.224,-0.170230865478516
484,3.230,-0.172615051269531
485,3.237,-0.174045562744141
486,3.244,-0.17547607421875
487,3.250,-0.175952911376953
488,3.257,-0.176429748535156
489,3.264,-0.176429748535156
490,3.270,-0.177383422851563
491,3.277,-0.177383422851563
492,3.284,-0.177383422851563
493,3.290,-0.176906585693359
494,3.297,-0.177383422851563
495,3.304,-0.178337097167969
496,3.310,-0.179767608642578
497,3.317,-0.181198120117188
498,3.324,-0.182628631591797
499,3.330,-0.184059143066406
500,3.337,-0.184535980224609
501,3.344,-0.185012817382813
502,3.350,-0.185489654541016
503,3.357,-0.185966491699219
504,3.364,-0.186443328857422
505,3.370,-0.185966491699219
506,3.377,-0.184535980224609
507,3.384,-0.181674957275391
508,3.390,-0.178337097167969
509,3.397,-0.174999237060547
510,3.404,-0.173568725585938
